pickup_zone_id,SUM(total_revenue)
132,10985784.64998722
138,7555729.499995266
237,4403742.249991216
161,4397677.479995371
230,3942725.7399966298
162,3829582.1999975354
236,3771743.7699969904
186,3663848.4899980747
170,3246802.89000024
48,3186251.950000156
234,3086216.6900010174
142,2942088.8000015826
163,2815822.570001786
79,2561354.950002198
239,2508631.1800022693
68,2364647.7800018047
164,2360215.83000179
107,2290512.9000016972
264,2262230.800001544
141,2238668.5500020534
